1;light;5; torch ; +5 to view 
2;light;5; torch ; +5 to view 
3;light;5; torch ; +5 to view 
4;light;5; torch ; +5 to view 
5;light;5; torch ; +5 to view 
6;light;5; torch ; +5 to view 
7;light;5; torch ; +5 to view 
8;light;5; torch ; +5 to view 
9;light;5; torch ; +5 to view 
10;light;5; torch ; +5 to view 
11;light;5; torch ; +5 to view 
12;light;5; torch ; +5 to view 
13;light;5; torch ; +5 to view 
14;light;5; torch ; +5 to view 
15;light;5; torch ; +5 to view 
16;light;5; torch ; +5 to view 
17;light;5; torch ; +5 to view 
18;light;5; torch ; +5 to view 
19;light;5; torch ; +5 to view 
20;light;5; torch ; +5 to view 
21;light;5; torch ; +5 to view 
22;light;5; torch ; +5 to view 
23;light;5; torch ; +5 to view 
24;light;5; torch ; +5 to view 
25;light;5; torch ; +5 to view 
26;light;5; torch ; +5 to view 
27;light;5; torch ; +5 to view 
28;light;5; torch ; +5 to view 
29;light;5; torch ; +5 to view 
30;light;5; torch ; +5 to view 
31;light;5; torch ; +5 to view 
32;light;5; torch ; +5 to view 
33;light;5; torch ; +5 to view 
34;light;5; torch ; +5 to view 
35;light;5; torch ; +5 to view 
36;light;5; torch ; +5 to view 
37;light;5; torch ; +5 to view 
38;light;5; torch ; +5 to view 
39;light;5; torch ; +5 to view 
40;light;5; torch ; +5 to view 
41;light;5; torch ; +5 to view 
42;light;5; torch ; +5 to view 
43;light;5; torch ; +5 to view 
44;light;5; torch ; +5 to view 
45;light;5; torch ; +5 to view 
46;light;5; torch ; +5 to view 
47;light;5; torch ; +5 to view 
48;light;5; torch ; +5 to view 
49;light;5; torch ; +5 to view 
50;light;5; torch ; +5 to view 
